,Job_Title,Company,Job_Location,Salaries,Job_Summary,Job_Link,Job_Description
0,Jr Cellar Person,Steamworks Brewery,"Burnaby, BC",,"Clean machines and immediate work areas.
Perform and maintain regular preventative machine maintenance.
Passion for beer, brewing and continuous learning.",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AqsnBlYNp6Zbetymj1jtQ7BbRrC_N5goooXDyaxORdEItW6YO_jBvw02UlOoRuQxcL1PZ9zB6nPGcfuFnTVJUFxgdkJyDtWv5QkHT-skova0oqQ-v2QrjWvdxkM6rLq5dRKwALIGuppIYNvW6k0Df9i_VATnYnGsbjENWBthA6ZczvjC6pIwVgV-kWMgg_akXjzMGXJMAFOt9n0DsyqTKJTHculrUl7CLRi_NCk_1JV0GTHBHWZBhvG0BgiUpLLSgcbXkiGmsfNLi_2ZJWT7wWseILQDo9iGpip1xrXrCLYE_tZoGAwxdTeu3Ow_X1CLEPvnZ7oJzO3akE6lsg5V0PnC1VHEt_9VXuJvIAVaTL9UbruYByVbdNqdIoHt8CtW4HJi9YoSjP7nI9hnMYDRvGSq2TbKhdtbv_LatusOmqqo_jgYX_oUmfoYB8eAlyWUQ=&p=0&fvj=1&vjs=3,"Steamworks is looking for the right individual to join our Cellaring department. The successful applicant will have a positive attitude, previous brewing experience, a strong work ethic, and a drive for maintaining quality and efficiency.This is a full-time position where morning and/or evening shifts will be required, and compensation will be competitive with local industry standards. There is ample opportunity for learning and growth within the company.The BurnabyIf you are interested in working alongside great people, helping brew world class beer, and being part of a growing craft brewery, we look forward to hearing from you!Duties and ResponsibilitiesComplete cellar operations including centrifuging, tank transfer and sanitation proceduresOperate equipment both manually as well as through control panels to produce beer and process into bottles, cans, and kegsCheck products to ensure conformance to company standardsPerform and maintain regular preventative machine maintenanceClean machines and immediate work areasConduct quality control assessmentsAdhere to all safe work practices and guidelinesDevelop and Implement SOPsAssist with packaging when and as neededAssist with deliveries & warehouse storage when neededEducation and ExperienceKnowledge and interest in the beer making process & productionBrewing Diploma (an asset)Post-Secondary Degree (an asset)Other Required SkillsPassion for beer, brewing and continuous learningDriven, self-motivated & task-orientated with strong attention-to-detailAbility to make judgement calls independently when neededStrong logistics, record keeping and time management skillsOutstanding team player with excellent work ethicAbility to multitask and strong time management skillsSteamworks Group of Companies values diversity and inclusion and encourages all qualified people to apply. Please let us know if you need any special accommodations during the recruitment process.We will review applications, and shortlisted candidates will be contacted. We look forward to hearing from you.Job Types: Full-time, PermanentBenefits:Company eventsDiscounted or free foodExtended health careOn-site parkingSchedule:8 hour shiftOvertimeWork remotely:No"
1,Researcher Machine Learning,Healthcare Systems R & A Inc.,"Vancouver, BC",$32 - $75 an hour,"You will be asked mainly to lead R&D activities, develop projects, write protocols, grants, supervise junior researchers and students and supervise all aspects…",https://ca.indeed.com/company/Healthcare-Systems-R-&-A-Inc./jobs/Researcher-Machine-Learning-0490dfb31b782993?fccid=8a7981457a54c485&vjs=3,"We are a Health Research company looking to hire experienced Researchers to lead R&D projects related to Machine Learning and Artificial Intelligence. The projects will be related to health care. Experience of working in health care industry is an asset.You will be asked mainly to lead R&D activities, develop projects, write protocols, grants, supervise junior researchers and students and supervise all aspects of research independently.Reference ID: MLR 01Contract length: 6-12 monthsPart-time hours: 15-40 per weekExpected start date: 2020-11-01Job Types: Full-time, Part-time, TemporarySalary: $32.00-$75.00 per hourExperience:Machine Learning: 5 years (Required)Education:Doctoral Degree (Required)Work remotely:Temporarily due to COVID-19"
2,"Research Intern, Machine Perception & Learning (PhD)",Facebook,Remote,,"The range of topics in machine learning, computer vision and graphics span novel approaches to 3D reconstruction, object detection and tracking, human pose…",https://ca.indeed.com/rc/clk?jk=daefe73fcb2b8b4b&fccid=1639254ea84748b5&vjs=3,"Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.

The Facebook Reality Labs (FRL) Research Team brings together world-class researchers, developers, and engineers to create the future of AR and VR. These technologies have the potential for enormous global impact, and our interns work directly towards making this potential a reality. The Surreal Vision team is looking for research interns to tackle the most ambitious problems in machine perception.In this internship, you will work on research problems at the forefront of industry and academia and beyond. You will be working with a team building a new generation of end-to-end real-time dynamic 3D scene understanding and photorealistic reconstruction systems. The range of topics in machine learning, computer vision and graphics span novel approaches to 3D reconstruction, object detection and tracking, human pose estimation and tracking, large-scale online inference and optimization, state estimation, novel scene, object and material representations and their estimation.Our internships are twelve (12) to twenty four (24) weeks long and you have the option to start at various dates throughout the year.

Fundamental research and development of ideas that extend the state of the art
Analysis and improvement of efficiency, accuracy, scalability and stability of currently deployed systems
Design and implementation of algorithms
Development and analysis of prototype experimental systems
Collaboration with and support of other researchers across various disciplines
Communication of research agenda, progress and results

Currently has, or is in the process of obtaining, a PhD in the field of Computer Science, Computer Vision, Machine Learning, Robotics, Physics or related fields
Experience in one or more of the following: machine learning, perception, information theory, 3D geometry, 3D reconstruction, graphics, tracking, Bayesian inference, optimization, system building, physics-based simulation, statistical analysis of data, or mathematical modeling
Experience with C++ or Python
Interpersonal experience: cross-group and cross-culture collaboration
Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment"
3,Machine Learning Developer Intern,Immersio,"Vancouver, BC",$25 an hour,"We are looking for a Masters or PHD student in computer science or statistics who specializes in Speech recognition to join us for a 4 month paid FT internship,…",https://ca.indeed.com/rc/clk?cmp=entrepreneurship%40UBC&ti=Machine+Learning+Developer+Intern&jk=9d6bba0d3a5de10c&fccid=ea66b514daef49bf&vjs=3,"IMMERSIOMACHINE LEARNING DEVELOPER INTERNAbout Us: Immersio is an app that enables people to learn ancient and endangered languages through conversation with a digital, private tutor, who offers personalized and contextual conversations.We are looking for a Masters or PHD student in computer science or statistics who specializes in Speech recognition to join us for a 4 month paid FT internship, starting from January and ending in April.Our goal in the next 4 months is to train a text to speech engine in the Latin language so that it can take our chatbots text responses and produce a voice representation of it. The point of the chatbot is to teach users how to speak ancient languages. Eventually, we want to add additional ancient and endangered languages.Currently, we have over 100 recordings and transcriptions of Latin phrases, and we are planning to integrate this with Mozilla's TTS so that we can create the voice representations of our responses. We need to set up configurations of our text to speech engine, learn how to best integrate our data (such as, whether we have enough quality data and how best to optimize the data), as well guidance and best practices on what models to use or if they would even work with the Latin language.*At this point in time, we are only experimenting with different guides and open-source engine tutorials to try to configure them with a custom language, but we need to confirm exactly what models and text to speech engines will work best for creating our Latin voice representations to fit our business needs.Responsibilities:Set up configurations of our text to speech engine.Define and set up training models for customized languages such as Latin or Squamish.Develop a data structure to best integrate our data with the training models.Deploy Proprietary Trained Language Models with our conversational AI using Rasa (https://rasa.com/)*Skills Required: *Advanced degree in computer science, math, statistics or a related disciplineExperience working with NLP and Speech recognitionExtensive data modelling and data architecture skillsProgramming experience in Python, R or Java**Bonus skills: Experience working with Natural Language Understanding enginesExperience with Rasa and Rasa X frameworksExperience with TTS and STT interfaces, especially with Mozilla DeepspeechFamiliarity with Android Development/Java*PLEASE READ SPECIAL INSTRUCTIONS BELOW*This role will be funded through Ventures for Canada wage subsidy program that allows us to bring great talent like yourself to join our team! They do have the following strict requirements and only those who meet the eligibility criteria will be considered for this role. Minimum eligibility criteria includes: *Full and part time students enrolled in an accredited Canadian college or universityStudying any discipline, at any diploma or degree levelCanadian citizenship, Permanent Residency or refugee status***Immersio is dedicated to helping its employees grow and develop technical and soft skills in an innovative and collaborative environment. Immersio is an equal opportunity employer with an inclusive culture. We thank all applicants in advance for their interest, however only those selected for an interview will be contacted.*Contract length: 4 monthsJob Types: Full-time, Internship, ContractSalary: Up to $25.00 per hourBenefits:Work from homeSchedule:8 hour shiftExperience:Python/R/JAVA: 3 years (Preferred)Natural Language Processing: 3 years (Preferred)Must be eligible for Ventures for Canada Grant: 1 year (Required)Rasa frameworks: 3 years (Preferred)Education:Master's Degree (Required)Work remotely:Temporarily due to COVID-19"
4,Machine Learning Engineer,Boast.AI,"Vancouver, BC","$80,000 - $110,000 a year","Our offices are in San Francisco, Toronto, Vancouver, and Calgary.
Fullstack development of AI features and applications in various areas of the Boast.",https://ca.indeed.com/company/Boast-Capital/jobs/Machine-Learning-Engineer-952be2f85dfa2ebd?fccid=935c86e1c23bc057&vjs=3,"Each year the US and Canadian governments give out billions of dollars in R&D tax credits through a very manual and broken process.At Boast.AI, we are building the future of tax credit recovery with artificial intelligence so companies can get larger returns without the manual work and audit risk.Our offices are in San Francisco, Toronto, Vancouver, and Calgary.Essential Duties & Responsibilities: Fullstack development of AI features and applications in various areas of the Boast.AI platformIdentify appropriate models to be used and improve model accuracy for the Boast.AI platformParticipate in the product definition, especially around the aspects of AI, attempting to translate complex business requirements into concrete technical solutionsMinimum Qualifications: Bachelor's degree in Computer Science, related technical field or equivalent practical experience5+ years of experience developing Machine Learning or Artificial Intelligence features and applications in the SaaS software and/or fintech space5+ years of fullstack software development experienceExperience with one or more of the following: Natural Language Processing, text understanding, classification, pattern recognition, recommendation systems, targeting systems, ranking systems or similar.Experience with one or more general purpose programming languages including but not limited to: Python, Scala, Java, C, C++Knowledge of software engineering best practices across the development lifecycle, including agile methodologies, coding standards, code reviews, source management, build processes, testing, and operationsEffective written and verbal communication skillsDemonstrated problem-solving skillsAbility to work unsupervised, in the office or remote as part of a distributed team and be able to produce high quality workPreferred Qualifications: MS or Ph.D. degree in Computer Science, Artificial Intelligence, Machine Learning, or related technical field.Experience with Google Cloud architecture and productsExperience with one or more frameworks such as Tensorflow, Keras, Apache Beam, SparkDemonstrated leadership and self-direction. Willingness to teach others and learn new techniques.Python proficiencyInterest and ability to learn other coding languages as neededWhy work with us?Competitive salary + benefitsFlexibility in your workplace – you have the option to work from our downtown office or from homeOpen and transparent management structure – collaboration is how we make decisions happenCareer growth within this role, including leadership and product innovation opportunitiesJob Type: Full-timeSalary: $80,000.00-$110,000.00 per yearExperience:Software development : 5 years (Preferred)Machine Learning: 3 years (Preferred)python: 5 years (Required)Education:Bachelor's Degree (Preferred)Work remotely:Temporarily due to COVID-19"
5,Machine Learning Developer (Full-time),Motion Metrics International Corp.,"Vancouver, BC",,"3+ years of hands-on experience in developing and implementing and evaluating machine learning models algorithms.
Proficiency in Python and version control.",https://ca.indeed.com/rc/clk?jk=7ba9eaaa9983093e&fccid=1b6d791144dc35d9&vjs=3,"Who we are:
Motion Metrics International provides intelligent monitoring solutions for mining industry. It offers a suite of products to increase efficiency and safety of mining operations using cutting edge technologies in computer vision and machine learning. We are looking for a Machine Learning Developer who is passionate about solving challenging computer vision and machine learning problems in collaboration with other data scientists and developers. AI team members will be involved in various stages of algorithm development from research to production, which includes AI model development for embedded, edge and cloud environments.
What you will do:
Review the literature for the state-of-the-art computer vision and machine learning methodologies.
Design and implement proprietary machine learning algorithms and optimize them based on runtime system requirements and constraints.
Propose, implement and monitor validation and performance metrics for the proprietary algorithms.
Conduct code reviews and work closely with the software/hardware teams to transfer the prototyped models to the production environment.
Setup the development pipeline including data management and deployment through continuous integration scheme.
Must have:
Master’s Degree or higher in Computer Science or a related technology/engineering field.
3+ years of hands-on experience in developing and implementing and evaluating machine learning models algorithms.
Solid understanding of statistical learning algorithms, including (self, semi) supervised, unsupervised and transfer learning and computer vision algorithms.
Proficiency in Python and version control.
Basic familiarity with object- and service-oriented design, API development, containerization, and complexity analysis.
Solid experience with TensorFlow, PyTorch and OpenCV.
Familiarity with image processing algorithms.
Strong analytical, communication and presentation skills.
Nice to have:
Published papers in top conferences or journals such as CVPR/ICCV/NeurIPS/IEEE Transactions
Experience with cloud architecture design and deployment
Experience with web api design and development
Familiarity with software design patterns
Hands on C++ programming
Motion Metrics International Corp offers a generous compensation package and benefits, as well as a fun and driven work environment and culture. Interested candidates please submit your resume with a cover letter. Due to high volume of applications we receive, only those selected for an interview will be contacted. Thank you."
6,Data Engineer - Machine Learning,Prenuvo Inc,"Vancouver, BC",,"The data engineer establishes and maintains scalable, reliable, and efficient data pipelines for data inquiry, model implementation & monitoring.",https://ca.indeed.com/rc/clk?jk=1d08e3bc9c713529&fccid=7cbd0ab047998f20&vjs=3,"Prenuvo Inc. (dba Voxelwise Imaging Technologies Inc.)

Overview
We are looking for a high-calibre, driven, technically-skilled software engineer to join what we expect to be the most rewarding role in your career. Prenuvo is literally transforming and reshaping preventative health by rolling out a data/ML heavy advanced MRI based screen that catches cancer at stage 1 and 400+ other diseases.
The data engineer establishes and maintains scalable, reliable, and efficient data pipelines for data inquiry, model implementation & monitoring. The ideal candidate will have experience with big data pipeline and will be able to detect our pipeline bottlenecks and offer solutions.
Required Skills
ETL development and data warehousing
Optimization of data structure, data pipeline, pipeline architecture in AWS/Azure/Google Cloud and tooling Spark/Airflow or similar
Strong knowledge of event-based and near real-time analytics using tools such as Kafka, Kinesis, SQS/SNS and Elasticsearch.
Strong command of back-end tech stack, strong proficiency in databases for relational (SQL) and non-relational (NoSQL), and frameworks such as Flask/FastAPI
Familiarity with model development process using Machine Learning algorithms
Qualifications
BS / MS in Computer Science, fields of science, or an Engineering discipline
2+ years experience as a software or data engineer at an enterprise software/analytics company
2+ years experience with relational databases (PostgreSQL preferred) and SQL, including strong understanding of concepts
Strong understanding of algorithms with 3+ years of experience in Python and/or Java
Good communication skills - both written and verbal
Knowledge of medical data/images is a plus
Knowledge of statistics or a background in life-science is a plus
Quick learner, and a strong team player
What’s in it for you
You’ll be part of a close-knit team that’s purpose is to solve complex problems in creative ways.
Work in an environment where it is safe to experiment, challenge yourself and others, fail, and learn.
Build systems and products that make a meaningful impact on the lives of people and their health.
Get a competitive salary with an equity stake
Extended health benefits including comprehensive body scans.

The position is based out of Vancouver, BC. Most of the team is working remotely these days. Local Candidates are strongly preferred.
Powered by JazzHR
9zctr5LfBx"
7,"Machine Learning Intern, AI@Unity (Computer Vision and Robotics)",Unity Technologies,"Vancouver, BC",,"Implement machine learning methods trained in simulation for common robotics tasks.
Contribute to state of the art methods to generate visual content for…",https://ca.indeed.com/rc/clk?jk=14f8b60e57844a29&fccid=880e4714f2ad94a8&vjs=3,"Using our industry-leading game engine, we are creating a whole new line of products and services centered around running massively scaled simulations in the cloud. This will impact multiple industries like Robotics and Autonomous Vehicles, and contribute to the advancement of artificial intelligence.

We are looking for exceptional interns to join the visual Machine Learning team, under AI@Unity during Summer 2021.

This is an opportunity to be one of the early members behind an innovative product that will define a new standard for how computer vision systems are trained, tested and validated. We're looking for interns who are entrepreneurial, adaptable and enjoy challenging the status quo.

Responsibilities

Contribute to state of the art methods to generate visual content for environments made with unity
Implement computer vision models trained on synthetic data to solve common perception problems
Implement machine learning methods trained in simulation for common robotics tasks

Requirements

Programming experience in one of the following languages: Python, C#, C++, or Java
Currently enrolled in a Canadian University; preferably, pursuing graduate studies in a Masters or PhD program
Experience in one of the following libraries: TensorFlow or PyTorch
Strong background in linear algebra, calculus, and probability theory

Bonus points

Research in one of the following areas: Deep Learning, Computer Vision or Robotics
Experience with contributing to open-source projects
Experience with Unity Engine, 3D simulators, and game development

This internship will take place during the Summer of 2021


About Unity Technologies

Unity is the world's leading platform for creating and operating real-time 3D (RT3D) content. Creators, ranging from game developers to artists, architects, automotive designers, filmmakers, and others, use Unity to make their imaginations come to life. Unity's platform provides a comprehensive set of software solutions to create, run and monetize interactive, real-time 2D and 3D content for mobile phones, tablets, PCs, consoles, and augmented and virtual reality devices.

The company's 1,400+ person research and development team keeps Unity at the forefront of development by working alongside partners to ensure optimized support for the latest releases and platforms. Apps developed by Unity creators were downloaded more than three billion times per month in 2019 on more than two billion unique devices. For more information, please visit www.unity.com.

Unity is an equal opportunity employer committed to fostering an inclusive, innovative environment with the best employees. Therefore, we provide employment opportunities without regard to age, race, color, ancestry, national origin, religion, disability, sex, gender identity or expression, sexual orientation, or any other protected status in accordance with applicable law. If there are preparations we can make to help ensure you have a comfortable and positive interview experience, please let us know.

Headhunters and recruitment agencies may not submit resumes/CVs through this Web site or directly to managers. Unity does not accept unsolicited headhunter and agency resumes. Unity will not pay fees to any third-party agency or company that does not have a signed agreement with Unity.


#LI-JA1 #INT"
8,"Software Engineer, Machine Learning","Grammarly, Inc.","Vancouver, BC",,"Work with a wide range of internal customers, including computational linguists, machine learning engineers, and research scientists.",https://ca.indeed.com/rc/clk?jk=eaddb7edf16ebee1&fccid=0555014e7bce64c3&vjs=3,"Grammarly is continuing to grow our team during the COVID-19 pandemic, conducting fully remote hiring and onboarding processes. All Grammarly team members can work remotely until August 2021. Read more about how we’re supporting our team and communities.
The opportunity

Grammarly empowers people to thrive and connect, whenever and wherever they communicate. 30 million people around the world use our AI-powered writing assistant every day. All of this begins with our team collaborating in a values-driven and learning-oriented environment.

To achieve our ambitious goals, we’re looking for a Software Engineer focused on machine learning platforms to join our team. This individual will be responsible for building a platform to power machine learning systems across the company. The platform will be used by engineers, scientists, linguists, and others, enabling experts to spend more time using their machine learning expertise and less time on infrastructure-related work to support it.

Grammarly’s engineers and researchers have the freedom to innovate and uncover breakthroughs. The system you build will play an important role in accelerating these results. Read more about our stack or hear from our team on our technical blog.

Your impact

The Software Engineer focusing on machine learning platforms will need to stay up-to-date in this fast-moving field. This includes being aware of cloud platforms and open source tools that can be used in such a platform—and ideally being aware of some of the excellent platforms others are using, such as Michelangelo or FBLearner Flow. Natural language processing technology is critical to Grammarly’s success, so the platform will need to handle unique challenges, including enormous, sparse feature sets and the latest Transformer-based pre-trained deep learning models.

In this role, you will:

Build a machine learning platform to accelerate the development of ML solutions across the company.
Work with a wide range of internal customers, including computational linguists, machine learning engineers, and research scientists.
Collaborate with people building user-facing features that rely on machine learning to understand the challenges and bottlenecks in the process.
Produce system architectures and designs that balance the needs of multiple constituencies and make core scenarios seamless.
Enable researchers to translate models they create into systems operating at scale.
Help make Grammarly’s diverse array of machine learning systems more maintainable by providing a common set of infrastructure, orchestration, and monitoring.
We’re looking for someone who
Embodies our EAGER values—is ethical, adaptable, gritty, empathetic, and remarkable.
Understands traditional machine learning algorithms and modern deep learning approaches as well.
Understands data structures and algorithms at a level sufficient to write performant code when working with large datasets or large incoming data streams.
Has experience with system design and building internal tools.
Is aware of NLP techniques to effectively work with very high-dimensional, sparse data.
Support for you, professionally and personally
Professional growth: We hire people we trust, and we give team members autonomy to do their best work. We also support professional development with training, coaching, and regular feedback.
A connected team: Grammarly builds a product that helps people connect, and we apply this mindset to our own team. We have a highly collaborative culture supported by our EAGER values. We also take time to celebrate our colleagues and accomplishments with global, local, and team-specific events and programs.
Comprehensive benefits: Grammarly offers all team members competitive pay along with a benefits package that includes superior health care. We also offer ample and defined time off, catered lunches, gym and recreation stipends, admission discounts, and more.
We encourage you to apply

At Grammarly, we value our differences, and we encourage all—especially those whose identities are traditionally underrepresented in tech organizations—to apply. We do not discriminate on the basis of ancestry, race, place of origin, political belief, religion, marital status, family status, physical or mental disability, sex, sexual orientation, gender identity or expression, age, or any other characteristic protected by law. Grammarly is an equal opportunity employer and abides by the Employment Equity Act."
9,Applied Scientist (Remote),Yelp,Remote,,"Experience with predictive modeling/machine learning, forecasting, or causal inference.
Applied scientists uncover these insights through exploratory research…",https://ca.indeed.com/rc/clk?jk=424f8a059094a685&fccid=0e94073a1c937bd1&vjs=3,"Are you intrigued by data? Yelp has hundreds of millions of pieces of user-contributed content, millions of users and business listings, and hundreds of thousands of advertising customers – and all of these numbers are constantly growing. Making sense of this data, deducing relationships between variables, and figuring out different interactions is hard work, but these insights are hugely impactful to Yelp’s business. Applied scientists uncover these insights through exploratory research and analysis, and carry the ideas all the way through to production-grade statistical or predictive models. They work in areas including pricing models and auction bidding strategies, learning to rank applications, personalized recommender systems, trust and safety / spam detection, and causal inference.

Yelp engineering culture is driven by our values: we’re a cooperative team that encourages individual authenticity and “unboring” solutions to problems. We enable all new team members to deploy working code their first week, and your impact will only grow from there with the support of your manager, mentor, and team. At the end of the day, we’re all about helping our users, growing as engineers and scientists, and having fun in a collaborative environment.

Sound exciting? Keep reading.
Where You Come In:
Identify and own challenging problems, form testable hypotheses, and drive significant business impact
Lead the design and analysis of experiments or development of causal and predictive models to test your ideas
Collaborate with product and engineering to affect changes in production systems and provide intelligence to other teams
Communicate your conclusions to technical and non-technical audiences alike
Keep the team and our projects current on new developments in ML and statistics by reading papers and attending conferences and local events
Productionize and automate model pipelines within Python services

What it Takes to Succeed:
Experience with data analysis/statistical software and packages (pandas/statsmodels/sklearn within Python, R, etc.)
Experience with predictive modeling/machine learning, forecasting, or causal inference
A degree in a quantitative discipline such as Computer Science, Statistics, Econometrics, Applied Math, etc.
A love for writing beautiful code; you don’t need to be an expert, but experience is a plus and we’ll expect you to learn on the job
A demonstrated capability for original research, the curiosity to uncover promising solutions to new problems, and the persistence to carry your ideas through to an end goal
The motivation to develop deep product and business knowledge and to connect abstract modeling and analysis tasks with business value
Comfortable working in a Unix environment

#LI-Remote

At Yelp, we believe that diversity is an expression of all the unique characteristics that make us human: race, age, sexual orientation, gender identity, religion, disability, and education — and those are just a few. We recognize that diverse backgrounds and perspectives strengthen our teams and our product. The foundation of our diversity efforts are closely tied to our core values, which include “Playing Well With Others” and “Authenticity.”

We’re proud to be an equal opportunity employer and consider qualified applicants without regard to race, color, religion, sex, national origin, ancestry, age, genetic information, sexual orientation, gender identity, marital or family status, veteran status, medical condition or disability.

We are committed to providing reasonable accommodations for individuals with disabilities in our job application process. If you need assistance or an accommodation due to a disability, you may contact us at accommodations-recruiting@yelp.com or 415-969-8488.

Note: Yelp does not accept agency resumes. Please do not forward resumes to any recruiting alias or employee. Yelp is not responsible for any fees related to unsolicited resumes."
